Rayyan ID,Author year,Title,DOI,Study animal,Study species,Study country,Study location,Study latitude / longitude,Production stage,Farming system,Farming system coding,Impact type,Impact details,Impact category,Study type,Study objectives,Mitigation evaluation,Study design,Methodology for data collection,Study length (months),Funding body,Funder,Include/Exclude,Exclusion Reason
279909127,Guajardo-Leiva 2023,A First Insight into the Microbial and Viral Communities of Comau Fjord—A Unique Human-Impacted Ecosystem in Patagonia (42° S),10.3390/microorganisms11040904,Salmon,"Salmon (unspecified), Atlantic salmon (Salmo salar)",Chile,the head of the Comau fjord located in Northern Patagonia,"-42.388988, -72.440421",Adult,open-net pen systems,Offshore pens,Ecological,Increased enrichment of microbial communities and with antibiotic resistance genes around salmon farms,"Ecological > Microbial > Diversity, Ecological > Microbial > Genetic diversity, Ecological > Microbial > Antibiotic resistance",Observational,"""In this study, we hypothesized that the Comau Fjord viral and microbial communities will be distinct from those collected in global surveys, but they will bear the hallmarks of microbes from coastal and temperate regions. Particularly to this study, we also hypothesized that microbial communities will be functionally enriched in ARGs in general and in those related to salmon farming in particular.""",No,"CI, Time-series","collected 40 L of water at 5 m below sea level sampling three surface coastal sites in the Comau Fjord and obtained metagenomes and viromes to test any taxonomic and functional diversity as compared to a global survey of the open ocean, from the Tara Oceans expedition. ""We also compared our results against global databases such as IMG, NCBI’s RefSeq, and GOS to obtain taxonomic and biogeographical information and functionally analyzed the metagenomes regarding functions and their resistomes, as well as viral communities, which showed a certain degree of uniqueness in their protein content.",1,Government,"Agencia Nacional de Investigación y Desarrollo (ANID), “ANID-FONDECYT Regular 1200834”, ANID-FONDECYT postdoctoral 3210547, and by “ANID-PIA-Anillo INACH ACT192057”.",Include,
279909155,Salvo 2017,"Spatial and temporal changes in epibenthic communities at deep, hard bottom aquaculture sites in Newfoundland",10.1016/j.ecolind.2017.01.019,Salmon,Atlantic salmon (Salmo salar),Canada,"Hermitage Bay and Fortune Bay, Newfoundland","47.351579, -55.929830",Adult,"open cage, marine-based systems",Offshore pens,Ecological,the influence of aquaculture on epibenthic community changes over deep rocky substrates,"Ecological > Benthos > Abundance, Ecological > Benthos > Community composition, Ecological > Epibenthos > Abundance, Ecological > Epibenthos > Community composition",Observational,"This study explores spatio-temporal changes in epibenthic communities due to salmon aquaculture at deep (>30 m), hard-bottom dominated sites in Newfoundland (Canada). ",No,BACI,"Characterized temporal and spatial patterns of epibenthic community composition during aquaculture production and fallow periods using drop camera surveys. Video monitoring performed 3–4 times a year over 15 months at two reference locations, two sites in production and two fallow sites. Distribution of individual benthic taxa was characterized according to depth, substrate type, temperature, sampling period and production state. Multivariate approaches were used to explore and compare the effects of time, distance to cage, as well as abiotic factors on benthic community structure, and examined whether intermediate stages of organic enrichment could be identified. ",15,"Government, Research institute",Aquaculture Collaborative Research and Development Program and the Program for Aquaculture Research and Regulation,Include,
279909172,Liu 2011,Potential ecological and economic impacts of sea lice from farmed salmon on wild salmon fisheries,10.1016/j.ecolecon.2011.04.017,Salmon,"Chum salmon (Oncorhynchus keta), Pink salmon (Oncorhynchus gorbuscha)",Canada,"Broughton Archipelago, a group of islands north of Johnstone Strait and off the northeast coast of Vancouver Island, British Columbia, specifically the Kingcome, Bond and Knight Inlets.","50.926789, -126.206018",Adult,open net cages,Offshore pens,Ecological,The potential ecological and economic impacts of salmon farm-derived sea lice on wild pink and chum salmon,"Ecological > Pathogens > Sea lice, Ecological > Wild fish > Mortality",Modelling,"""The objective of this paper is to examine the potential ecological and economic effects associated with sea lice from salmon farms on wild salmon populations and fisheries. To address this objective, a bioeconomic model is developed incorporating sea lice induced mortality into an age-structured biological model. The pink and chum salmon fisheries in British Columbia will be used as case studies""",No,Modelling,"A commonly-applied Pacific salmon population assessment method is the ‘run reconstruction’ model, which uses spatial and temporal catch and escapement data to estimate salmon run sizes at different times throughout the adult reproductive migration stage.",360,Research institute,Canada's Research Network in Aquaculture (AquaNet),Include,
279909177,Ford 2006,"Demonstration of an impact of salmon farming on survival of wild salmonids in the North Atlantic and Pacific, using population dynamics data",Not found ,Salmon,"Atlantic salmon (Salmo salar), Chinook salmon (Oncorhynchus tshawytscha), Coho salmon (Oncorhynchus kisutch)","Canada, United Kingdom of Great Britain and Northern Ireland (the)","British Columbia, Scotland, Ireland, Newfoundland, Bay of Fundy Canada, St Johns River Canada, ",,Adult,sea-pen farming ,Offshore pens,Ecological,Increased mortality of 5 species of wild anadromous salmonids in areas associated with increased salmon farm production,Ecological > Wild fish > Mortality,Modelling,"""The goal of this study was to ""step-back"" and look for evidence of an impact of salmon farming on wild populations by analyzing estimates of survival and run sizes over time in many stocks. The study was performed to test the hypothesis that salmon farming has had consistent and significant impacts on wild salmon populations through the North Atlantic and Pacific."" ",No,Modelling,Perfromed a a meta-analysis of population dynamics data studies and used an extended Ricker and mixed-effect Models to detect the effect of salmon farms on wild population survival. ,516,Not reported,,Include,
279909229,O'Ryan 2015,Participatory indicators of sustainability for the salmon industry: The case of Chile,10.1016/j.marpol.2014.09.010,Salmon,Atlantic salmon (Salmo salar),Chile,"Multiple communities where a significant percentage of the economically active population (EAP) is involved in salmon farming fisheries, across provinces Aysén, Chiloé, Llanquihue and Palena","-43.172324, -73.821398",Not stated,Not specified but assumed sea-pen farming,Offshore pens,Social,"societal issues in that salmon farming represents a use of marine resources distinct from traditional activities, that puts pressure on urban services and infrastructure, brings in new people and culture, and many times competes for labor or with the development of other economic activities such as tourism.","Social > Attitudes > Ecological impacts, Social > Attitudes > Socio-economic impacts, Social > Attitudes > General perceptions of aquaculture",Observational,"Constructing a set of indicators that respond to the perceptions of stakeholders in salmon farming and a common vision of long-term sustainability. In particular, a list of sustainable development indicators using a participatory methodology was developed for the first time for Chile. ",No,Qualitative,"1) A bottom-up approach to capture stakeholder concerns through workshops and and semi-structured interviews. 2) Development of 53 sustainable development indicators, 15 of them social, 19 economic and 19 environmental - developing a first list of indicators for the issues and areas identified gathered in the workshops with stakeholders, and then a top-down selection approach using the international literature. Integrating these two approaches resulted first in a long list of indicators and then, based on diverse criteria, a medium list.",Not specified,Government,project INNOVA-Chile 67854,Include,
279909304,Dempster 2005,Vertical variability of wild fish assemblages around sea-cage fish farms: implications for management,10.3354/meps304015,"Sea bass, Sea bream","Sea bass (Dicentrus labrax), Gilthead sea bream (Sparus aurata)",Spain,"3 fish farms (Altea, Campello & Guardamar) on the coast of Spain in the southwestern Mediterranean Sea, and 2 fish farms (Los Cristianos & San Andrés) located off Tenerife in the Canary Archipelago in the central east Atlantic. ","38.077283, -0.640171",Adult,floating sea-cages,Offshore pens,Ecological,"wild fish aggregations around farms which affect a variety of ecological attributes of associated wild fish, including: diet, condition, parasite loads, susceptibility to fishing pressure, and presence, abundance and residence in a particular area. ",Ecological > Wild fish > Community composition,Observational,"""we aimed to quantify fish assemblages on vertical (among depth strata) and horizontal (among sites) spatial scales of 10s of metres within fish farms during the morning feeding hours, when wild fish were most likely to consume lost feed. Further, we investigated similar fish farms in the southwest Mediterranean Sea and in the Canary Islands to determine if the observed patterns in fish assemblage structure were consistent among farms""",No,Time-series,"Human divers performed counts of the following 3 times (3 separate days) at each farm over 2 months: 1) Measurements of physical variables in the 4 count strata (surface, cage, mid-water and bottom) with dive computer, and 2) Timed visual counts of fishes using stationary 1 min timed counts with the diver slowly revolving through 360° at different depths. ",2,Government,"Spanish Ministry of Science grant MYCT-REN2003-00794 and ‘Canarias, por una Costa Viva’ framework (Ministerio de Medio Ambiente) ",Include,
279909327,Morton 2011,Sea lice dispersion and salmon survival in relation to salmon farm activity in the Broughton Archipelago,10.1093/icesjms/fsq146,Salmon,Atlantic salmon (Salmo salar),Canada,"throughout the Broughton Archipelago, British Columbia","50.685740, -126.688155","Smolt, Adult",open-net pen systems,Offshore pens,Ecological,increased Sea lice infections and transmission to wild juvenile pink and chum migrating salmon,Ecological > Pathogens > Sea lice,Observational,"""We studied the distribution of sea lice in the Broughton Archipelago in 2007 in relation to salmon farming activity as well as the corresponding survival of wild juvenile pink and chum salmon""",No,CI,Plankton tows were made between 2 February and 2 April 2007 at 19 sites on at least two different dates and at different depths. Wild juvenile fish were collected with a beach-seine and examined for sea lice using the non-lethal sampling method. ,2,"Government, NGO, Research institute","Natural Science and Engineering Research Council of Canada, the National Geographic Society, the Canadian National Centre of Excellence Mathematics of Information Technology and Complex Systems (MITACS) program",Include,
279909346,Castellani 2015,IBSEM: An individual-based atlantic salmon population model,10.1371/journal.pone.0138444,Salmon,Atlantic salmon (Salmo salar),Norway,"river Os in Hordaland, western Norway","60.186701, 5.472359",Adult,open-net pen systems,Offshore pens,Ecological,introgression of escaped farmed salmon in native populations,Ecological > Wild fish > Productivity/biomass,Modelling,"""We developed an Individual-Based Salmon Eco-genetic Model (IBSEM) on the population dynamics in the river Os, in accordance with a long time-series of measurements in this river, to simulate the demographic and population genetic change of an Atlantic salmon population through its entire life-cycle. We assessed the sensitivity of the model in the face of assumptions made on the fitness differences between farm and wild salmon, and evaluated the role of straying as a buffering mechanism against the intrusion of farm genes into wild populations""",No,Modelling,"""IBSEM is a new eco-genetic model for Atlantic salmon populations, which simulates both the demographic and evolutionary dynamics of the modelled population. Differences in origin (wild, farmed, or hybrid) are reflected in the genotype of the individuals and affect the growth, survival, and maturation. IBSEM is parameterized in relation to empirical data from a single Norwegian river that has been studied extensively for many years. Importantly however, the range of output variables is within the values reported for other salmon rivers, and as such the model can be easily applied to many other salmon populations.""",1,Government,Norwegian Research Council funded project INTERACT,Include,
279909387,Jeong 2024,Wild salmon migration routes influence sea lice infestations: An agent-based model predicting farm-related infestations on juvenile salmon,10.1371/journal.pone.0309215,Salmon,Atlantic salmon (Salmo salar),Canada,"Discovery Islands, British Columbia ","50.435150, -125.461007",Adult,open-net pen systems,Offshore pens,Ecological,"Transmission of sea lice from salmon farms to migrating juvenile wild salmon, more vulnerable than adults and may lead to a diminished number of adult salmon returning to their spawning grounds",Ecological > Pathogens > Sea lice,Modelling,"In this study, we present results from an ABM simulating juvenile sockeye salmon migration through multiple fine-scale routes in the Discovery Islands, BC, Canada. These routes expose the salmon to larval lice originating from nearby salmon farms. Our model evaluates how different migration routes affect sea lice infestation rates on out-migrating wild juvenile salmon, offering a deeper insight into the dynamics of sea lice transmission.",No,Modelling,"Developed a model framework, using comprehensive quantitative mapping of the coastline, to simulate wild salmon navigating different routes, and performed a sensitivity analysis on the influence of various migration-related parameters and proximity to salmon farms on the abundance of lice in wild salmon and the consequent impact on infestation levels by the end of their migration. ",1,Government,"Aquaculture, Biotechnology and Aquatic Animal Health Science Branch at the Fisheries and Oceans Canada. ",Include,
279909396,Armijo 2020,The 2016 red tide crisis in southern Chile: Possible influence of the mass oceanic dumping of dead salmons,10.1016/j.marpolbul.2019.110603,Salmon,Atlantic salmon (Salmo salar),Chile,Chiloe Island and coastline ,"-43.445522, -74.026137",Adult,open-net pen systems,Offshore pens,"Ecological, Social","Major socio-ecological crisis caused by mass dumping of 4,700t dead salmon from farms associated with a catastrophic second pulse toxic 'Red Tide', causing mass mortalities of bivalves, birds, other shellfish and macroalgae, as well as shellfish and salmon farm workers, divers and fishermen to lose their livelihoods and huge societal protests ensued. ","Ecological > Microbial > Abundance, Social > Local economy",Modelling,"In this work, we carefully analyze oceanographic patterns using satellite data, and, using a high resolution model, we simulate the transport of pollution from a location of a mass dumping of dead farmed salmon and its vicinity, to hypothesise whether this was responsible for the second pulse 'red tide' ecological disaster off the chilean coats in 2016. We discuss the major socio-ecological crisis and mis-management.""",No,Modelling,Collected and analysed oceanic conditions during and after the dumping and using Lagrangian simulations we simulated the movement of pollution using MERCATOR model and ARIANE.  ,12,Government,FONDECYT grant 3150587,Include,
279909416,Strøm 2025,In situ infestation of sea trout Salmo trutta with salmon louse Lepeophtheirus salmonis reveals parasite-induced behavioral modifications,10.1111/jfb.15993,Salmon,Atlantic salmon (Salmo salar),Norway,"In the Runga watercourse, Straumfjord and Oksfjord areas of Fennoscandia","69.933026, 21.736768",Adult,open-net pen systems,Offshore pens,Ecological,Behavioural migration changes and mortality in wild Sea Trout (Salmo trutta) due to salmon louse infestation  burden from salmon farms,Ecological > Pathogens > Sea lice,Experimental,"""We investigated the impacts of salmon lice on the behavior of first-time migrating sea trout by combining in situ infestation with acoustic telemetry. We expected that salmon louse infestation would have a negative impact on sea trout's tendency to make a final return to fresh water (i.e., survival), but increase their likelihood to return prematurely. We also hypothesized that salmon louse infestation would impact marine residency and habitat use, with exposed sea trout spending less time at sea and a greater proportion of their marine migration close to their natal river than unexposed individuals.""",No,"RCT, Modelling","Sea Trout capture using a non permanent fish trap and a fyke net tunnel, artificial and experimental infestation of lice in varying degrees of the caught fish, release and fish tagging with acoustic transmitters and deployed receivers deployed in the Fjord, in the river mouth and along the shorelines to study the migration of sea trout from the Runga watercourse.",3,Research institute,Institute of Marine Research (IMR project 15696),Include,
